Feature_ID,Pass_N,Fail_N,Pass_Mean,Fail_Mean,F_stat,p_value,Eta_Squared,BH_Adjusted_p,BH_Significant,Bonferroni_Adjusted_p,Bonferroni_Significant
477,1457,104,6.105093548387096,8.398981730769231,4.936335326215242,0.026440843191064694,0.0031563531166283686,0.2663356963057166,False,1.0,False
197,1457,104,19.93495538778312,22.302788461538462,4.89997271548764,0.027001422450173496,0.003133175267584108,0.2663356963057166,False,1.0,False
58,1460,103,4.592049383561644,4.611205825242719,4.888039036034594,0.02718789536697481,0.0031215763286905535,0.2663356963057166,False,1.0,False
183,1462,104,26.559824076607388,28.08586538461539,4.850335449048524,0.02778622505616996,0.0030916495598416957,0.2663356963057166,False,1.0,False
468,1456,104,227.59087953296702,176.3233951923077,4.802473945017128,0.02856650563749415,0.0030729884454905785,0.2663356963057166,False,1.0,False
76,1439,104,-0.02889339819318971,-0.03626826923076923,4.796706126025581,0.02866362907022963,0.0031030640103036416,0.2663356963057166,False,1.0,False
365,1461,104,0.005159479808350445,0.005747115384615384,4.763978754158831,0.029209691056815312,0.0030387091543872314,0.2663356963057166,False,1.0,False
126,1454,104,2.746995873452545,2.802913461538462,4.734910370736708,0.02970640957102045,0.0030337697576150067,0.2663356963057166,False,1.0,False
511,1461,104,271.14984818617387,343.82616923076927,4.729821086480389,0.029793484671486938,0.003016987380646043,0.2663356963057166,False,1.0,False
65,1456,104,27.027495535714284,28.592296153846153,4.6973092745106575,0.030360942242489454,0.003005898357047412,0.2673575510905788,False,1.0,False
205,1457,104,8.88474262182567,11.367019230769232,4.500602774823615,0.03404030949481955,0.002878542398279969,0.28890999490115454,False,1.0,False
337,1456,104,2.3031941620879124,2.6675057692307695,4.470672681161546,0.03463988982460322,0.002861284220771953,0.28890999490115454,False,1.0,False
196,1456,104,8.464258241758241,11.827692307692306,4.45287502390667,0.03500159400795342,0.0028499259690238873,0.28890999490115454,False,1.0,False
319,1462,104,7.885228522571818,8.349119230769231,4.409888757113976,0.03589100005953147,0.0028116940531461585,0.28890999490115454,False,1.0,False
90,1413,103,8833.289516985138,8748.61942038835,4.391707413697924,0.0362798431483083,0.0028923415428673423,0.28890999490115454,False,1.0,False
575,1463,104,0.10568195488721806,0.09132596153846155,4.363765762455702,0.03687227455222932,0.002780595460183588,0.28890999490115454,False,1.0,False
